"country","UN_region","UN_subregion","year","record","crop_land","grazing_land","forest_land","fishing_ground","built_up_land","carbon","total","GDP","population","country.code"
"Albania","Europe","Southern Europe",2014,"EFConsTotGHA",1878695.23,690470.5285,838792.9431,73024.16352,114929.1623,2592726.604,6188638.631,4413.56,2890000,8
"Algeria","Africa","Northern Africa",2014,"BiocapPerCap",0.202869592,0.274074612,0.028272274,0.008251253,0.028062842,0,0.541530572,4675.89,38934000,12
"Algeria","Africa","Northern Africa",2014,"BiocapTotGHA",7898585.699,10670903.38,1100761.206,321256.7785,1092607.128,0,21084114.19,4675.89,38934000,12
"Algeria","Africa","Northern Africa",2014,"EFConsPerCap",0.582685019,0.183246027,0.173109368,0.01544039,0.028062842,1.46621158,2.448755226,4675.89,38934000,12
"Algeria","Africa","Northern Africa",2014,"EFConsTotGHA",22686433.81,7134555.919,6739892.206,601160.7869,1092607.128,57085922.66,95340572.5,4675.89,38934000,12
"Angola","Africa","Middle Africa",1985,"BiocapPerCap",0.111212339,3.102338523,1.428854319,0.566991094,0.012933635,0,5.22232991,2574.05,9745000,24
"Angola","Africa","Middle Africa",1985,"BiocapTotGHA",1083787.593,30232940.28,13924485.34,5525447.253,126040.9896,0,50892701.46,2574.05,9745000,24
"Angola","Africa","Middle Africa",1985,"EFConsPerCap",0.178894494,0.347077164,0.14568435,0.109800544,0.012933635,0.09796781,0.892357996,2574.05,9745000,24
"Angola","Africa","Middle Africa",1985,"EFConsTotGHA",1743364.401,3382339.833,1419724.582,1070029.352,126040.9896,954716.8765,8696216.034,2574.05,9745000,24
"Angola","Africa","Middle Africa",1986,"BiocapPerCap",0.117553851,2.995287528,1.38532582,0.547426188,0.014061827,0,5.059655213,2570.53,10024000,24
"Angola","Africa","Middle Africa",1986,"BiocapTotGHA",1178324.557,30023864.18,13886090.69,5487235.985,140951.5352,0,50716466.94,2570.53,10024000,24
"Angola","Africa","Middle Africa",1986,"EFConsPerCap",0.163321384,0.327822368,0.146614824,0.115210869,0.014061827,0.102379936,0.869411207,2570.53,10024000,24
"Angola","Africa","Middle Africa",1986,"EFConsTotGHA",1637084.586,3285993.136,1469623.037,1154839.207,140951.5352,1026225.787,8714717.288,2570.53,10024000,24
"Angola","Africa","Middle Africa",1987,"BiocapPerCap",0.116133379,2.915681585,1.349962458,0.532877208,0.014255031,0,4.92890966,2700.11,10286000,24
